order_number,line_item,order_date,delivery_date,customerkey,productkey,quantity,currency_code,open_date,gender,first_name,last_name,city,state_code,state,zip_code,country,continent,birthday,year,month,age,product_name,brand,color,unit_cost_usd,unit_price_usd,subcategorykey,subcategory,categorykey,category,Exchange_Rate,Generation
1506049,1,2019-02-14,2019-02-18,1997765,9,2,USD,2010-01-01,Female,Sinikka,Silvan,Bridgeport,NJ,New Jersey,8014,United States,North America,1985-01-30,1985,January,39,Contoso 4G MP3 Player E400 Black,Contoso,Black,30.5800,59.9900,101,MP4&MP3,1,Audio,1.0000,Tech Boom (1971-1990)
1854011,2,2020-01-28,2020-01-02,188670,9,3,AUD,2010-01-01,Male,Dominic,Finn,KADNOOK,VIC,Victoria,3318,Australia,Australia,1987-06-15,1987,June,37,Contoso 4G MP3 Player E400 Black,Contoso,Black,30.5800,59.9900,101,MP4&MP3,1,Audio,1.4802,Tech Boom (1971-1990)
404005,1,2016-08-02,2016-02-16,295597,491,1,CAD,2010-01-01,Male,Ralph,Martin,Winnipeg,MB,Manitoba,P3C 0C4,Canada,North America,1967-10-31,1967,October,57,Adventure Works LCD22 M200 Black,Adventure Works,Black,205.0900,619.0000,304,Monitors,3,Computers,1.3951,Digital Revolution (1951-1970)
1082000,1,2017-12-17,2017-12-20,1096502,491,1,GBP,2010-01-01,Female,Madeleine,Parker,BLACKSTONE,Horsham,Horsham,BN5 8BQ,United Kingdom,Europe,1951-11-23,1951,November,73,Adventure Works LCD22 M200 Black,Adventure Works,Black,205.0900,619.0000,304,Monitors,3,Computers,0.7475,Digital Revolution (1951-1970)
404005,2,2016-08-02,2016-02-16,295597,1456,5,CAD,2010-01-01,Male,Ralph,Martin,Winnipeg,MB,Manitoba,P3C 0C4,Canada,North America,1967-10-31,1967,October,57,The Phone Company Sharp Touch Screen Phones M910 Gold,The Phone Company,Gold,138.4200,301.0000,503,Touch Screen Phones,5,Cell phones,1.3951,Digital Revolution (1951-1970)
926003,2,2017-07-14,2017-07-24,1429765,1456,1,USD,2010-01-01,Female,Karen,Ngo,Hartford,CT,Connecticut,6103,United States,North America,1962-06-10,1962,June,62,The Phone Company Sharp Touch Screen Phones M910 Gold,The Phone Company,Gold,138.4200,301.0000,503,Touch Screen Phones,5,Cell phones,1.0000,Digital Revolution (1951-1970)
945002,5,2017-02-08,2017-05-08,1951832,1456,2,USD,2010-01-01,Female,Jana,Svobodova,Salinas,CA,California,93901,United States,North America,1995-12-05,1995,December,29,The Phone Company Sharp Touch Screen Phones M910 Gold,The Phone Company,Gold,138.4200,301.0000,503,Touch Screen Phones,5,Cell phones,1.0000,Modern Era (1991-2015)
1449027,7,2018-12-19,2018-12-20,1598675,1456,6,USD,2010-01-01,Female,Mary,McKown,Montgomery,AL,Alabama,36104,United States,North America,1956-01-24,1956,January,68,The Phone Company Sharp Touch Screen Phones M910 Gold,The Phone Company,Gold,138.4200,301.0000,503,Touch Screen Phones,5,Cell phones,1.0000,Digital Revolution (1951-1970)
1819045,1,2019-12-24,2019-12-28,1288469,1456,3,USD,2010-01-01,Male,Bryce,Murphy,Anaheim,CA,California,92801,United States,North America,1968-03-29,1968,March,56,The Phone Company Sharp Touch Screen Phones M910 Gold,The Phone Company,Gold,138.4200,301.0000,503,Touch Screen Phones,5,Cell phones,1.0000,Digital Revolution (1951-1970)
1513073,2,2019-02-21,2019-02-24,1819146,1456,7,USD,2010-01-01,Female,Charity,Meyer,El Paso,TX,Texas,79936,United States,North America,1980-02-29,1980,February,44,The Phone Company Sharp Touch Screen Phones M910 Gold,The Phone Company,Gold,138.4200,301.0000,503,Touch Screen Phones,5,Cell phones,1.0000,Tech Boom (1971-1990)
1590019,3,2019-09-05,2019-05-13,1402836,1456,4,USD,2010-01-01,Male,Harry,Ponder,Oakland,CA,California,94612,United States,North America,1955-03-19,1955,March,69,The Phone Company Sharp Touch Screen Phones M910 Gold,The Phone Company,Gold,138.4200,301.0000,503,Touch Screen Phones,5,Cell phones,1.0000,Digital Revolution (1951-1970)
1773000,2,2019-08-11,2019-11-11,2027276,1456,2,USD,2010-01-01,Male,Carl,Andersson,Saint Louis,MO,Missouri,63146,United States,North America,1992-05-01,1992,May,32,The Phone Company Sharp Touch Screen Phones M910 Gold,The Phone Company,Gold,138.4200,301.0000,503,Touch Screen Phones,5,Cell phones,1.0000,Modern Era (1991-2015)
2032003,5,2020-07-24,2020-07-27,810167,1456,2,EUR,2010-01-01,Female,Sabira,op den Kelder,Deventer,OV,Overijssel,7416 BN,Netherlands,Europe,1976-11-10,1976,November,48,The Phone Company Sharp Touch Screen Phones M910 Gold,The Phone Company,Gold,138.4200,301.0000,503,Touch Screen Phones,5,Cell phones,0.8615,Tech Boom (1971-1990)
2201007,6,2021-09-01,2021-01-14,1374776,1456,10,USD,2010-01-01,Female,Diana,Ruiz,Chattanooga,TN,Tennessee,37403,United States,North America,1989-01-03,1989,January,35,The Phone Company Sharp Touch Screen Phones M910 Gold,The Phone Company,Gold,138.4200,301.0000,503,Touch Screen Phones,5,Cell phones,1.0000,Tech Boom (1971-1990)
2214005,1,2021-01-22,2021-01-29,1053634,1456,2,GBP,2010-01-01,Male,Owen,Hope,DIDWORTHY,South Hams,South Hams,TQ10 1AH,United Kingdom,Europe,1942-07-06,1942,July,82,The Phone Company Sharp Touch Screen Phones M910 Gold,The Phone Company,Gold,138.4200,301.0000,503,Touch Screen Phones,5,Cell phones,0.7324,Early Era (1935-1950)
2243029,6,2021-02-20,2021-02-27,887764,1456,2,EUR,2010-01-01,Female,Sofie,Molenschot,Opheusden,GE,Gelderland,4043 JJ,Netherlands,Europe,1972-10-08,1972,October,52,The Phone Company Sharp Touch Screen Phones M910 Gold,The Phone Company,Gold,138.4200,301.0000,503,Touch Screen Phones,5,Cell phones,0.8238,Tech Boom (1971-1990)
405005,1,2016-09-02,2016-02-15,39894,1608,8,AUD,2010-01-01,Female,Samantha,Begg,JUNEE,NSW,New South Wales,2663,Australia,Australia,1941-02-26,1941,February,83,SV DVD 7-Inch Player Portable E200 Silver,Southridge Video,Silver,56.0800,109.9900,602,Movie DVD,6,"Music, Movies and Audio Books",1.4314,Early Era (1935-1950)
727020,5,2016-12-27,2017-02-01,558163,1608,1,EUR,2010-01-01,Male,Tom,Peters,Holtsee,SH,Schleswig-Holstein,24363,Germany,Europe,1996-12-24,1996,December,28,SV DVD 7-Inch Player Portable E200 Silver,Southridge Video,Silver,56.0800,109.9900,602,Movie DVD,6,"Music, Movies and Audio Books",0.9574,Modern Era (1991-2015)
1765021,2,2019-10-31,2019-09-11,1601798,1608,6,USD,2010-01-01,Female,Christy,Collier,Sedro Woolley,WA,Washington,98284,United States,North America,1961-11-27,1961,November,63,SV DVD 7-Inch Player Portable E200 Silver,Southridge Video,Silver,56.0800,109.9900,602,Movie DVD,6,"Music, Movies and Audio Books",1.0000,Digital Revolution (1951-1970)
1016010,5,2017-12-10,2017-10-16,954712,1608,8,GBP,2010-01-01,Female,Imogen,Gould,NORTHWOOD,Hillingdon,Hillingdon,HA6 0JS,United Kingdom,Europe,1935-06-15,1935,June,89,SV DVD 7-Inch Player Portable E200 Silver,Southridge Video,Silver,56.0800,109.9900,602,Movie DVD,6,"Music, Movies and Audio Books",0.7611,Early Era (1935-1950)
1072012,2,2017-07-12,2017-11-12,1144095,1608,1,GBP,2010-01-01,Male,Declan,Middleton,INSCH,Aberdeenshire,Aberdeenshire,AB52 0FB,United Kingdom,Europe,1954-04-17,1954,April,70,SV DVD 7-Inch Player Portable E200 Silver,Southridge Video,Silver,56.0800,109.9900,602,Movie DVD,6,"Music, Movies and Audio Books",0.7472,Digital Revolution (1951-1970)
1237004,2,2018-05-21,2018-05-27,1684157,1608,1,USD,2010-01-01,Female,Gladys,Raley,Southfield,MI,Michigan,48034,United States,North America,1991-10-25,1991,October,33,SV DVD 7-Inch Player Portable E200 Silver,Southridge Video,Silver,56.0800,109.9900,602,Movie DVD,6,"Music, Movies and Audio Books",1.0000,Modern Era (1991-2015)
1359022,2,2018-09-20,2018-09-22,501912,1608,2,EUR,2010-01-01,Male,Sebastian,Fried,Scheer,BW,Baden-Wurttemberg,72516,Germany,Europe,1965-02-19,1965,February,59,SV DVD 7-Inch Player Portable E200 Silver,Southridge Video,Silver,56.0800,109.9900,602,Movie DVD,6,"Music, Movies and Audio Books",0.8497,Digital Revolution (1951-1970)
1368030,1,2018-09-29,2018-02-10,1468248,1608,1,USD,2010-01-01,Female,Mary,Busby,Corpus Christi,TX,Texas,78401,United States,North America,1948-11-10,1948,November,76,SV DVD 7-Inch Player Portable E200 Silver,Southridge Video,Silver,56.0800,109.9900,602,Movie DVD,6,"Music, Movies and Audio Books",1.0000,Early Era (1935-1950)
1426015,1,2018-11-26,2018-11-30,945228,1608,5,GBP,2010-01-01,Female,Sarah,Thornton,NETTLECOMBE,Somerset,Somerset,TA4 6ZF,United Kingdom,Europe,1992-11-05,1992,November,32,SV DVD 7-Inch Player Portable E200 Silver,Southridge Video,Silver,56.0800,109.9900,602,Movie DVD,6,"Music, Movies and Audio Books",0.7783,Modern Era (1991-2015)
1427004,2,2018-11-27,2018-11-30,181488,1608,2,AUD,2010-01-01,Female,Alexis,Kaberry,COWES,VIC,Victoria,3922,Australia,Australia,1986-12-08,1986,December,38,SV DVD 7-Inch Player Portable E200 Silver,Southridge Video,Silver,56.0800,109.9900,602,Movie DVD,6,"Music, Movies and Audio Books",1.3799,Tech Boom (1971-1990)
1459066,4,2018-12-29,2019-06-01,694742,1608,5,EUR,2010-01-01,Male,Bevis,Primeau,DRANCY,IL,Ile-de-France,93700,France,Europe,1985-08-21,1985,August,39,SV DVD 7-Inch Player Portable E200 Silver,Southridge Video,Silver,56.0800,109.9900,602,Movie DVD,6,"Music, Movies and Audio Books",0.8731,Tech Boom (1971-1990)
1632034,3,2019-06-20,2019-06-27,1231909,1608,5,USD,2010-01-01,Female,Andrea,McMurray,Overton,NV,Nevada,89040,United States,North America,1980-11-21,1980,November,44,SV DVD 7-Inch Player Portable E200 Silver,Southridge Video,Silver,56.0800,109.9900,602,Movie DVD,6,"Music, Movies and Audio Books",1.0000,Tech Boom (1971-1990)
1515014,1,2019-02-23,2019-01-03,1428180,1608,1,USD,2010-01-01,Male,Johnny,Huckabee,Sunnyvale,CA,California,94089,United States,North America,1983-05-24,1983,May,41,SV DVD 7-Inch Player Portable E200 Silver,Southridge Video,Silver,56.0800,109.9900,602,Movie DVD,6,"Music, Movies and Audio Books",1.0000,Tech Boom (1971-1990)
1820019,3,2019-12-25,2019-12-28,825321,1608,5,EUR,2010-01-01,Male,Hielke,Oosterman,Rotterdam,ZH,Zuid-Holland,3044 BA,Netherlands,Europe,1958-09-25,1958,September,66,SV DVD 7-Inch Player Portable E200 Silver,Southridge Video,Silver,56.0800,109.9900,602,Movie DVD,6,"Music, Movies and Audio Books",0.9025,Digital Revolution (1951-1970)
1692010,3,2019-08-19,2019-08-25,1189159,1608,2,GBP,2010-01-01,Male,Alex,Stevenson,NORTH BERWICK,East Lothian,East Lothian,EH39 0ET,United Kingdom,Europe,1938-02-26,1938,February,86,SV DVD 7-Inch Player Portable E200 Silver,Southridge Video,Silver,56.0800,109.9900,602,Movie DVD,6,"Music, Movies and Audio Books",0.8248,Early Era (1935-1950)
1701001,4,2019-08-28,2019-08-30,72812,1608,2,AUD,2010-01-01,Female,Mary,Reginald,BUSSELTON,WA,Western Australia,6280,Australia,Australia,1966-05-23,1966,May,58,SV DVD 7-Inch Player Portable E200 Silver,Southridge Video,Silver,56.0800,109.9900,602,Movie DVD,6,"Music, Movies and Audio Books",1.4825,Digital Revolution (1951-1970)
1804003,1,2019-09-12,2019-12-14,1877381,1608,1,USD,2010-01-01,Male,Mark,Walton,Beltsville,MD,Maryland,20705,United States,North America,1949-08-05,1949,August,75,SV DVD 7-Inch Player Portable E200 Silver,Southridge Video,Silver,56.0800,109.9900,602,Movie DVD,6,"Music, Movies and Audio Books",1.0000,Early Era (1935-1950)
1970025,3,2020-05-23,2020-05-25,309994,1608,1,CAD,2010-01-01,Female,Jo,Ebert,Chalk River,ON,Ontario,K0J 1J0,Canada,North America,1965-04-17,1965,April,59,SV DVD 7-Inch Player Portable E200 Silver,Southridge Video,Silver,56.0800,109.9900,602,Movie DVD,6,"Music, Movies and Audio Books",1.4007,Digital Revolution (1951-1970)
1998000,3,2020-06-20,2020-06-23,1913981,1608,2,USD,2010-01-01,Female,Ljuba,Brajkovic,Tulsa,OK,Oklahoma,74120,United States,North America,1967-08-15,1967,August,57,SV DVD 7-Inch Player Portable E200 Silver,Southridge Video,Silver,56.0800,109.9900,602,Movie DVD,6,"Music, Movies and Audio Books",1.0000,Digital Revolution (1951-1970)
406001,2,2016-10-02,2016-02-15,1610147,100,2,USD,2010-01-01,Female,Elizabeth,Gilliam,Springfield,MA,Massachusetts,1103,United States,North America,1965-03-01,1965,March,59,WWI Wireless Bluetooth Stereo Headphones M170 White,Wide World Importers,White,55.1800,120.0000,106,Bluetooth Headphones,1,Audio,1.0000,Digital Revolution (1951-1970)
419004,3,2016-02-23,2016-02-26,946857,100,1,GBP,2010-01-01,Male,Dylan,Taylor,NANTMEL,Llandrindod Wells,Llandrindod Wells,LD1 5LW,United Kingdom,Europe,1959-12-16,1959,December,65,WWI Wireless Bluetooth Stereo Headphones M170 White,Wide World Importers,White,55.1800,120.0000,106,Bluetooth Headphones,1,Audio,0.7088,Digital Revolution (1951-1970)
507001,1,2016-05-21,2016-01-06,286857,100,1,CAD,2010-01-01,Female,Phyllis,Chill,Toronto,ON,Ontario,M3B 2W6,Canada,North America,1982-12-29,1982,December,42,WWI Wireless Bluetooth Stereo Headphones M170 White,Wide World Importers,White,55.1800,120.0000,106,Bluetooth Headphones,1,Audio,1.3106,Tech Boom (1971-1990)
521006,1,2016-04-06,2016-06-16,259651,100,10,CAD,2010-01-01,Male,Jae,Conwell,Liverpool,NS,Nova Scotia,B0T 1K0,Canada,North America,1999-05-10,1999,May,25,WWI Wireless Bluetooth Stereo Headphones M170 White,Wide World Importers,White,55.1800,120.0000,106,Bluetooth Headphones,1,Audio,1.3084,Modern Era (1991-2015)
798000,1,2017-08-03,2017-11-03,857048,100,3,EUR,2010-01-01,Male,Allert,Rijkeboer,Warmond,ZH,Zuid-Holland,2361 XL,Netherlands,Europe,1971-12-30,1971,December,53,WWI Wireless Bluetooth Stereo Headphones M170 White,Wide World Importers,White,55.1800,120.0000,106,Bluetooth Headphones,1,Audio,0.9473,Tech Boom (1971-1990)
902001,7,2017-06-20,2017-06-24,337695,100,3,CAD,2010-01-01,Female,Lucila,Yagi,Edmonton,AB,Alberta,T5J 3N2,Canada,North America,1982-09-11,1982,September,42,WWI Wireless Bluetooth Stereo Headphones M170 White,Wide World Importers,White,55.1800,120.0000,106,Bluetooth Headphones,1,Audio,1.3277,Tech Boom (1971-1990)
966010,2,2017-08-23,2017-05-09,1345382,100,3,USD,2010-01-01,Male,Jose,Law,Manchester,NH,New Hampshire,3103,United States,North America,1956-09-19,1956,September,68,WWI Wireless Bluetooth Stereo Headphones M170 White,Wide World Importers,White,55.1800,120.0000,106,Bluetooth Headphones,1,Audio,1.0000,Digital Revolution (1951-1970)
1638032,2,2019-06-26,2019-06-30,1301181,100,3,USD,2010-01-01,Female,Vanessa,Howell,Paducah,KY,Kentucky,42003,United States,North America,1936-03-31,1936,March,88,WWI Wireless Bluetooth Stereo Headphones M170 White,Wide World Importers,White,55.1800,120.0000,106,Bluetooth Headphones,1,Audio,1.0000,Early Era (1935-1950)
1284002,2,2018-07-07,2018-12-07,1521733,100,1,USD,2010-01-01,Female,Lisa,Sherman,Richmond,VA,Virginia,23222,United States,North America,1947-06-26,1947,June,77,WWI Wireless Bluetooth Stereo Headphones M170 White,Wide World Importers,White,55.1800,120.0000,106,Bluetooth Headphones,1,Audio,1.0000,Early Era (1935-1950)
1374002,4,2018-05-10,2018-10-10,2071030,100,6,USD,2010-01-01,Female,Uta,Cole,Pontiac,MI,Michigan,48342,United States,North America,1937-08-25,1937,August,87,WWI Wireless Bluetooth Stereo Headphones M170 White,Wide World Importers,White,55.1800,120.0000,106,Bluetooth Headphones,1,Audio,1.0000,Early Era (1935-1950)
1498027,3,2019-06-02,2019-09-02,1604428,100,8,USD,2010-01-01,Female,Minnie,Elmore,Appleton,WI,Wisconsin,54915,United States,North America,1939-01-24,1939,January,85,WWI Wireless Bluetooth Stereo Headphones M170 White,Wide World Importers,White,55.1800,120.0000,106,Bluetooth Headphones,1,Audio,1.0000,Early Era (1935-1950)
1466019,1,2019-05-01,2019-10-01,1118302,100,1,GBP,2010-01-01,Female,Lydia,Webster,PILSBURY,Derbyshire Dales,Derbyshire Dales,SK17 0FL,United Kingdom,Europe,1974-07-27,1974,July,50,WWI Wireless Bluetooth Stereo Headphones M170 White,Wide World Importers,White,55.1800,120.0000,106,Bluetooth Headphones,1,Audio,0.7892,Tech Boom (1971-1990)
1497015,1,2019-05-02,2019-12-02,1018176,100,1,GBP,2010-01-01,Male,Dominic,Watson,SMITH END GREEN,Worcester,Worcester,WR6 9UA,United Kingdom,Europe,1945-09-12,1945,September,79,WWI Wireless Bluetooth Stereo Headphones M170 White,Wide World Importers,White,55.1800,120.0000,106,Bluetooth Headphones,1,Audio,0.7687,Early Era (1935-1950)
1511000,1,2019-02-19,2019-02-22,1190327,100,4,GBP,2010-01-01,Female,Lily,Berry,PONTSHILL,Hereford,Hereford,HR9 0WL,United Kingdom,Europe,1949-05-23,1949,May,75,WWI Wireless Bluetooth Stereo Headphones M170 White,Wide World Importers,White,55.1800,120.0000,106,Bluetooth Headphones,1,Audio,0.7720,Early Era (1935-1950)
1516006,1,2019-02-24,2019-02-27,398056,100,1,CAD,2010-01-01,Male,Daniel,Runyon,Ottawa,ON,Ontario,K1P 5M7,Canada,North America,1958-04-30,1958,April,66,WWI Wireless Bluetooth Stereo Headphones M170 White,Wide World Importers,White,55.1800,120.0000,106,Bluetooth Headphones,1,Audio,1.3224,Digital Revolution (1951-1970)
1617008,1,2019-05-06,2019-08-06,1336484,100,2,USD,2010-01-01,Male,Derek,Cram,Hoffman Estates,IL,Illinois,60192,United States,North America,1970-03-07,1970,March,54,WWI Wireless Bluetooth Stereo Headphones M170 White,Wide World Importers,White,55.1800,120.0000,106,Bluetooth Headphones,1,Audio,1.0000,Digital Revolution (1951-1970)
1783008,6,2019-11-18,2019-11-21,217910,100,1,CAD,2010-01-01,Male,Arthur,Messina,Contrecoeur,QC,Quebec,J0L 1C0,Canada,North America,1979-08-12,1979,August,45,WWI Wireless Bluetooth Stereo Headphones M170 White,Wide World Importers,White,55.1800,120.0000,106,Bluetooth Headphones,1,Audio,1.3219,Tech Boom (1971-1990)
1724000,5,2019-09-20,2019-09-22,1148022,100,6,GBP,2010-01-01,Female,Alexandra,Singh,SWANTON MORLEY,Norfolk,Norfolk,NR20 5FY,United Kingdom,Europe,1962-11-04,1962,November,62,WWI Wireless Bluetooth Stereo Headphones M170 White,Wide World Importers,White,55.1800,120.0000,106,Bluetooth Headphones,1,Audio,0.7999,Digital Revolution (1951-1970)
1729015,3,2019-09-25,2019-09-29,1570185,100,2,USD,2010-01-01,Female,Beverly,Deckard,Biloxi,MS,Mississippi,39531,United States,North America,1958-05-13,1958,May,66,WWI Wireless Bluetooth Stereo Headphones M170 White,Wide World Importers,White,55.1800,120.0000,106,Bluetooth Headphones,1,Audio,1.0000,Digital Revolution (1951-1970)
1844000,1,2020-01-18,2020-01-24,1523982,100,1,USD,2010-01-01,Male,Robert,Nelsen,Elkhart,IN,Indiana,46516,United States,North America,1999-04-09,1999,April,25,WWI Wireless Bluetooth Stereo Headphones M170 White,Wide World Importers,White,55.1800,120.0000,106,Bluetooth Headphones,1,Audio,1.0000,Modern Era (1991-2015)
1835043,3,2020-09-01,2020-12-01,1495200,100,6,USD,2010-01-01,Female,Cythia,Smith,Cleveland,OH,Ohio,44115,United States,North America,1968-11-30,1968,November,56,WWI Wireless Bluetooth Stereo Headphones M170 White,Wide World Importers,White,55.1800,120.0000,106,Bluetooth Headphones,1,Audio,1.0000,Digital Revolution (1951-1970)
1883020,1,2020-02-26,2020-02-29,2045183,100,1,USD,2010-01-01,Male,Aldano,Armenta,Fayetteville,NC,North Carolina,28306,United States,North America,1941-10-02,1941,October,83,WWI Wireless Bluetooth Stereo Headphones M170 White,Wide World Importers,White,55.1800,120.0000,106,Bluetooth Headphones,1,Audio,1.0000,Early Era (1935-1950)
1890021,1,2020-04-03,2020-06-03,2007280,100,6,USD,2010-01-01,Female,Kvetoslava,Markova,Callaway,NE,Nebraska,68825,United States,North America,1946-07-29,1946,July,78,WWI Wireless Bluetooth Stereo Headphones M170 White,Wide World Importers,White,55.1800,120.0000,106,Bluetooth Headphones,1,Audio,1.0000,Early Era (1935-1950)
1983001,2,2020-05-06,2020-10-06,1220106,100,1,USD,2010-01-01,Female,Sallie,Martin,Atlanta,GA,Georgia,30310,United States,North America,1952-12-28,1952,December,72,WWI Wireless Bluetooth Stereo Headphones M170 White,Wide World Importers,White,55.1800,120.0000,106,Bluetooth Headphones,1,Audio,1.0000,Digital Revolution (1951-1970)
406001,3,2016-10-02,2016-02-15,1610147,1500,3,USD,2010-01-01,Female,Elizabeth,Gilliam,Springfield,MA,Massachusetts,1103,United States,North America,1965-03-01,1965,March,59,The Phone Company Smart phones without camera E100 Pink,The Phone Company,Pink,65.7700,129.0000,504,Smart phones & PDAs,5,Cell phones,1.0000,Digital Revolution (1951-1970)
2039000,1,2020-07-31,2020-02-08,1613362,1500,3,USD,2010-01-01,Male,Gerardo,Loya,El Paso,TX,Texas,79901,United States,North America,1942-08-29,1942,August,82,The Phone Company Smart phones without camera E100 Pink,The Phone Company,Pink,65.7700,129.0000,504,Smart phones & PDAs,5,Cell phones,1.0000,Early Era (1935-1950)
2169003,4,2020-08-12,2020-12-13,337589,1500,2,CAD,2010-01-01,Female,Adrienne,Soriano,Carmangay,AB,Alberta,T0L 0N0,Canada,North America,2001-08-08,2001,August,23,The Phone Company Smart phones without camera E100 Pink,The Phone Company,Pink,65.7700,129.0000,504,Smart phones & PDAs,5,Cell phones,1.2802,Modern Era (1991-2015)
1082002,3,2017-12-17,2017-12-22,690190,1500,10,EUR,2010-01-01,Male,Turner,Duplessis,CHATEAUROUX,CE,Centre,36000,France,Europe,1959-04-28,1959,April,65,The Phone Company Smart phones without camera E100 Pink,The Phone Company,Pink,65.7700,129.0000,504,Smart phones & PDAs,5,Cell phones,0.8470,Digital Revolution (1951-1970)
1661022,3,2019-07-19,2019-07-23,1883630,1500,8,USD,2010-01-01,Male,Robert,Segura,Adams,OK,Oklahoma,73901,United States,North America,1987-10-29,1987,October,37,The Phone Company Smart phones without camera E100 Pink,The Phone Company,Pink,65.7700,129.0000,504,Smart phones & PDAs,5,Cell phones,1.0000,Tech Boom (1971-1990)
1828064,1,2020-02-01,2020-06-01,1514093,1500,4,USD,2010-01-01,Female,Claudette,Karas,Pardeeville,WI,Wisconsin,53954,United States,North America,1982-06-09,1982,June,42,The Phone Company Smart phones without camera E100 Pink,The Phone Company,Pink,65.7700,129.0000,504,Smart phones & PDAs,5,Cell phones,1.0000,Tech Boom (1971-1990)
406001,4,2016-10-02,2016-02-15,1610147,430,3,USD,2010-01-01,Female,Elizabeth,Gilliam,Springfield,MA,Massachusetts,1103,United States,North America,1965-03-01,1965,March,59,Adventure Works Desktop PC1.60 ED160 Brown,Adventure Works,Brown,137.6300,269.9500,303,Desktops,3,Computers,1.0000,Digital Revolution (1951-1970)
587004,7,2016-09-08,2016-08-16,2071369,430,1,USD,2010-01-01,Male,Bazyli,Adamczyk,Portsmouth,ME,Maine,3801,United States,North America,1971-07-01,1971,July,53,Adventure Works Desktop PC1.60 ED160 Brown,Adventure Works,Brown,137.6300,269.9500,303,Desktops,3,Computers,1.0000,Tech Boom (1971-1990)
924004,3,2017-12-07,2017-07-15,1522440,430,2,USD,2010-01-01,Male,Steven,Crawford,Wichita,KS,Kansas,67202,United States,North America,1959-03-29,1959,March,65,Adventure Works Desktop PC1.60 ED160 Brown,Adventure Works,Brown,137.6300,269.9500,303,Desktops,3,Computers,1.0000,Digital Revolution (1951-1970)
1045001,3,2017-10-11,2017-11-15,1374605,430,1,USD,2010-01-01,Female,Katherine,Ferreira,Parksley,VA,Virginia,23421,United States,North America,1974-05-28,1974,May,50,Adventure Works Desktop PC1.60 ED160 Brown,Adventure Works,Brown,137.6300,269.9500,303,Desktops,3,Computers,1.0000,Tech Boom (1971-1990)
1142007,2,2018-02-15,2018-02-20,2032588,430,2,USD,2010-01-01,Male,Henri,Berthiaume,Sarona,WI,Wisconsin,54870,United States,North America,1967-03-19,1967,March,57,Adventure Works Desktop PC1.60 ED160 Brown,Adventure Works,Brown,137.6300,269.9500,303,Desktops,3,Computers,1.0000,Digital Revolution (1951-1970)
1284026,1,2018-07-07,2018-07-14,880192,430,8,EUR,2010-01-01,Male,Husein,Westhoff,Den Haag,ZH,Zuid-Holland,2544 MJ,Netherlands,Europe,1964-06-26,1964,June,60,Adventure Works Desktop PC1.60 ED160 Brown,Adventure Works,Brown,137.6300,269.9500,303,Desktops,3,Computers,0.8530,Digital Revolution (1951-1970)
1786034,2,2019-11-21,2019-11-26,442699,430,2,EUR,2010-01-01,Female,Martina,Metzger,Oberstreit,RP,Rheinland-Pfalz,55596,Germany,Europe,1940-04-13,1940,April,84,Adventure Works Desktop PC1.60 ED160 Brown,Adventure Works,Brown,137.6300,269.9500,303,Desktops,3,Computers,0.9016,Early Era (1935-1950)
1353012,5,2018-09-14,2018-09-18,451706,430,1,EUR,2010-01-01,Female,Lena,Glockner,Eldena,MV,Mecklenburg-Vorpommern,19292,Germany,Europe,1963-07-12,1963,July,61,Adventure Works Desktop PC1.60 ED160 Brown,Adventure Works,Brown,137.6300,269.9500,303,Desktops,3,Computers,0.8555,Digital Revolution (1951-1970)
1403037,1,2018-03-11,2018-05-11,465435,430,5,EUR,2010-01-01,Male,Frank,Hoch,Berlin Dahlem,BE,Berlin,14193,Germany,Europe,1978-04-02,1978,April,46,Adventure Works Desktop PC1.60 ED160 Brown,Adventure Works,Brown,137.6300,269.9500,303,Desktops,3,Computers,0.8759,Tech Boom (1971-1990)
1417002,2,2018-11-17,2018-11-22,1491746,430,1,USD,2010-01-01,Male,Edward,Junker,Madrid,NY,New York,13660,United States,North America,1993-01-02,1993,January,31,Adventure Works Desktop PC1.60 ED160 Brown,Adventure Works,Brown,137.6300,269.9500,303,Desktops,3,Computers,1.0000,Modern Era (1991-2015)
1427004,4,2018-11-27,2018-11-30,181488,430,1,AUD,2010-01-01,Female,Alexis,Kaberry,COWES,VIC,Victoria,3922,Australia,Australia,1986-12-08,1986,December,38,Adventure Works Desktop PC1.60 ED160 Brown,Adventure Works,Brown,137.6300,269.9500,303,Desktops,3,Computers,1.3799,Tech Boom (1971-1990)
1438006,2,2018-08-12,2018-11-12,1601287,430,2,USD,2010-01-01,Male,Dennis,Tindell,Franklin,VT,Vermont,5457,United States,North America,1966-07-12,1966,July,58,Adventure Works Desktop PC1.60 ED160 Brown,Adventure Works,Brown,137.6300,269.9500,303,Desktops,3,Computers,1.0000,Digital Revolution (1951-1970)
1900025,1,2020-03-14,2020-03-15,1414205,430,1,USD,2010-01-01,Female,Sylvia,Alvarez,Indianapolis,IN,Indiana,46254,United States,North America,1976-09-25,1976,September,48,Adventure Works Desktop PC1.60 ED160 Brown,Adventure Works,Brown,137.6300,269.9500,303,Desktops,3,Computers,1.0000,Tech Boom (1971-1990)
